molar extinction coefficient	Wavenumber
	cm\+(-1)
37.5215961904762	3225.8064516129
-102.952528479762	3226.84737011939
-60.6896533333334	3227.88896061976
25.5246480357143	3228.93122376493
135.358462904762	3229.97416020672
-27.9606630357143	3231.01777059774
-65.2760100940476	3232.06205559147
-41.6189387857143	3233.10701584223
11.7394674047619	3234.15265200518
35.4693038333333	3235.19896473633
72.9748003452381	3236.24595469256
11.1823857142857	3237.29362253156
1.67459338095238	3238.34196891192
27.4680909761905	3239.39099449304
51.0666463976191	3240.44069993519
62.2771868809524	3241.49108589951
92.3907384285714	3242.54215304799
28.8192182857143	3243.59390204347
58.1828844047619	3244.64633354964
59.6093091547619	3245.69944823109
44.8219212142857	3246.75324675325
28.5126401904762	3247.8077297824
47.1691334880952	3248.86289798571
18.3280313452381	3249.9187520312
57.1568607440476	3250.97529258778
44.4749037619048	3252.0325203252
35.3215994047619	3253.09043591412
69.4547386309524	3254.14904002603
48.0844772261905	3255.20833333333
37.7090891785714	3256.26831650928
58.4118998142857	3257.32899022801
40.9457078571429	3258.39035516455
55.954915225	3259.45241199479
50.5405611190476	3260.5151613955
48.4387545476191	3261.57860404436
46.5507840833333	3262.6427406199
41.108254702381	3263.70757180157
49.1040703333333	3264.77309826967
46.8280498964286	3265.83932070542
50.6770409047619	3266.90623979092
48.1893940476191	3267.97385620915
43.9910661547619	3269.042170644
53.999902277381	3270.11118378025
46.6605071904762	3271.18089630357
46.4191699142857	3272.25130890052
49.2659297619048	3273.32242225859
46.7267918571429	3274.39423706614
51.5349076309524	3275.46675401245
50.0074964690476	3276.53997378768
52.7244349404762	3277.61389708292
48.1741325476191	3278.68852459016
47.4402847261905	3279.7638570023
52.6393708297619	3280.83989501312
51.5312111642857	3281.91663931736
48.3584878452381	3282.99409061064
54.0733015869048	3284.07224958949
54.016085125	3285.15111695138
44.0983622857143	3286.23069339468
49.0496955119048	3287.31097961867
57.9069667880952	3288.39197632358
49.4465353928572	3289.47368421053
54.1455988345238	3290.55610398157
53.360310952381	3291.6392363397
50.5529199880952	3292.72308198881
50.0838216869048	3293.80764163373
53.7694941785714	3294.89291598023
50.2174099285714	3295.978905735
52.0850565	3297.06561160567
58.2470608511905	3298.15303430079
54.8836996904762	3299.24117452986
51.0353927619048	3300.3300330033
54.8063267380953	3301.41961043249
48.3585820833333	3302.50990752972
49.8518979642857	3303.60092500826
51.9555461190476	3304.69266358229
49.9132954047619	3305.78512396694
55.8701709761905	3306.87830687831
51.3901490595238	3307.97221303341
54.9755724404762	3309.06684315023
54.2368030238095	3310.1621979477
51.7527417619048	3311.2582781457
53.4942462261905	3312.35508446506
51.9477873095238	3313.45261762757
52.2956739880952	3314.55087835598
52.8148264642857	3315.64986737401
54.3229370595238	3316.7495854063
52.7183525238095	3317.8500331785
52.3874558333333	3318.95121141719
54.3629772738095	3320.05312084993
51.6633569642857	3321.15576220525
51.2000727738095	3322.25913621263
52.1264149880952	3323.36324360253
51.5710495952381	3324.46808510638
52.109782	3325.5736614566
52.9054419285714	3326.67997338656
51.5715839880953	3327.78702163062
52.5216993333334	3328.8948069241
53.2020393452381	3330.00333000333
53.1386960952381	3331.1125916056
52.5734276428572	3332.22259246918
52.6428178333334	3333.33333333333
52.4932230357143	3334.44481493831
53.0734791309524	3335.55703802535
52.1564989285714	3336.67000333667
53.2600230357143	3337.78371161549
51.7230503095238	3338.89816360601
52.7510375238095	3340.01336005344
52.8920619285714	3341.12930170398
52.4084771071429	3342.24598930481
53.1522911904762	3343.36342360415
53.4427263571429	3344.48160535117
52.7387995	3345.60053529609
52.5484748571429	3346.72021419009
52.4026563452381	3347.8406427854
52.9743065714286	3348.96182183523
51.8793994047619	3350.0837520938
52.1893435714286	3351.20643431635
51.4960825595238	3352.32986925914
50.5755655476191	3353.45405767941
52.3970174047619	3354.57900033546
51.0805774285714	3355.70469798658
53.3629430476191	3356.83115139309
52.0515344285715	3357.95836131632
52.3105041904762	3359.08632851864
52.9549350714286	3360.21505376344
52.2253236547619	3361.34453781513
52.7206808333334	3362.47478143914
52.7628741785714	3363.60578540195
53.1039267261905	3364.73755047106
53.4534010833333	3365.87007741501
53.8459136428572	3367.00336700337
56.5643089761905	3368.13742000674
